pl_name,hostname,sy_snum,sy_pnum,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_insol,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,st_age,sy_dist,sy_vmag,sy_jmag,st_lum_linear,snr_proxy,distance_penalty,transit_depth_norm,obs_duration_norm,detectability,spectral_class,star_O,star_B,star_A,star_F,star_G,star_K,star_M,star_Unknown,priority_score,_hz_factor_diag,_esi_diag,_rocky_diag
11 Com b,11 Com,2,1,2007.0,Radial Velocity,12.2,4914.89848585,14.9,323.21,1.178,0.238,88.74,734.7283769658036,,,,98.461,4874.0,13.76,2.09,1.97823,-0.26,2.45,3.98,93.1846,4.72307,2.943,95.1108362126332,0.0,0.3938260360722757,0.0,0.01865671641787564,0.1181478108216827,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4906191314715951,0.1
11 UMi b,11 UMi,1,1,2009.0,Radial Velocity,12.3,4684.8142,13.8,516.21997,1.53,0.08,88.74,819.9468700837081,,,,98.461,4213.0,29.79,2.78,2.42951,-0.02,1.93,1.56,125.321,5.013,2.876,268.84997473462806,0.0,0.2855865909711611,0.0,0.01865671641787564,0.08567597729134833,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4904456279047156,0.1
14 And b,14 And,1,1,2008.0,Radial Velocity,13.1,1131.15130051,2.76,186.76,0.775,0.0,88.74,832.2926419483466,,,,98.461,4888.0,11.55,1.78,1.83992,-0.21,2.55,4.5,75.4392,5.23133,3.019,69.17035426814304,0.0,0.47029646807490505,0.0,0.01865671641787564,0.1410889404224715,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5113516377741746,0.1
14 Her b,14 Her,1,2,2002.0,Radial Velocity,12.5,2828.6728223,7.96,1766.41,2.839,0.3683,146.7,134.754123810803,,,2456834.4,98.461,5338.0,0.93,0.97,-0.15273,0.43,4.45,4.6,17.9323,6.61935,5.158,0.7035095544212904,0.0,0.835835880801881,0.0,0.01865671641787564,0.2507507642405643,G,0,0,0,0,1,0,0,0,0.0,0.0,0.583174602055396,0.1
16 Cyg B b,16 Cyg B,3,1,1996.0,Radial Velocity,13.5,565.7374,1.26,798.5,1.66,0.68,88.74,209.24627696057212,,,2456937.32,98.461,5750.0,1.13,1.08,0.09729,0.06,4.36,7.4,21.1397,6.215,4.993,1.2510941690820965,0.0,0.809452650382121,0.0,0.01865671641787564,0.2428357951146363,G,0,0,0,0,1,0,0,0,0.3829436999006415,0.7941842765768413,0.4633097435377145,0.1
17 Sco b,17 Sco,1,1,2020.0,Radial Velocity,12.9,1373.01871824,3.51,578.38,1.45,0.06,88.74,775.2079878110721,,,,98.461,4157.0,25.92,1.22,2.25435,-0.01,1.7,5.13,124.953,5.22606,2.943,179.61805942264473,0.0,0.2866394857641274,0.0,0.01865671641787564,0.08599184572923822,K,0,0,0,0,0,1,0,0,0.0,0.0,0.5482701615543389,0.1
18 Del b,18 Del,2,1,2008.0,Radial Velocity,12.5,2926.24614325,8.23,982.85,2.476,0.024,88.74,414.09508496734736,,,,98.461,4980.0,8.8,2.1,1.63367,-0.06,2.87,1.1,76.222,5.51048,4.032,43.01995977769538,0.0,0.46662935911323633,0.0,0.01865671641787564,0.1399888077339709,K,0,0,0,0,0,1,0,0,0.0,0.0,0.6141655502067315,0.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008.0,Imaging,18.647,3000.0,2.54,11.17931605,330.0,0.0,88.74,1700.0,,,,98.461,4060.0,1.31316,0.85,-0.37,0.0205,3.99592,0.005,139.135,12.618,9.82,0.42657951880159267,0.0,0.24873927983818483,0.0,0.01865671641787564,0.07462178395145545,K,0,0,0,0,0,1,0,0,0.0,0.0,0.41165385153634637,0.1
24 Boo b,24 Boo,1,1,2018.0,Radial Velocity,13.9,280.64248338,0.574,30.33,0.194,0.032,88.74,1683.8065057610968,,,,98.461,4816.0,12.19,1.05,1.87691,-0.78,2.28,6.92,95.9863,5.59,3.845,75.31994600329986,0.0,0.382945345893913,0.0,0.01865671641787564,0.11488360376817389,K,0,0,0,0,0,1,0,0,0.0,0.0,0.2825823905315078,0.1
24 Sex b,24 Sex,1,2,2010.0,Radial Velocity,13.4,632.46,1.44,452.8,1.333,0.09,88.74,431.1094209665288,,,,98.461,5098.0,4.9,1.54,1.164,-0.03,3.5,2.7,72.0691,6.4535,5.292,14.588142602753482,0.0,0.4864160263318184,0.0,0.01865671641787564,0.1459248078995455,K,0,0,0,0,0,1,0,0,0.0,0.0,0.4764864842934032,0.1
