,pl_name,hostname,pl_rade,pl_eqt,pl_orbsmax,st_teff,spectral_class,detectability,priority_score,pred_priority,uncertainty,scientific_gain,pred_str
1,GJ 1002 b,GJ 1002,1.03,230.9,0.0457,3024.0,M,0.2858010029198117,0.9981286129967588,0.9921427630588755,0.01111230014910766,0.0031759065273609423,0.992 +/- 0.011
2,GJ 1002 c,GJ 1002,1.1,181.7,0.0738,3024.0,M,0.2858010029198117,0.9976132353746442,0.9912387844216357,0.011545450944842047,0.0032997014591973446,0.991 +/- 0.012
3,TRAPPIST-1 f,TRAPPIST-1,1.045,217.7,0.03849,2566.0,M,0.2833826979602099,0.9999696580872124,0.9910168138721385,0.011462721404088072,0.003248336917456723,0.991 +/- 0.011
4,GJ 1061 d,GJ 1061,1.16,221.37755333680545,0.054,2953.0,M,0.2891815451091257,0.9990602258746768,0.9909385295715971,0.011763816173718796,0.0034018785374957243,0.991 +/- 0.012
5,Teegarden's Star c,Teegarden's Star,1.02,209.0,0.0455,3034.0,M,0.2887249990342292,0.9996583228815322,0.9907497607572062,0.011906972924488467,0.003437840746123526,0.991 +/- 0.012
6,TRAPPIST-1 g,TRAPPIST-1,1.129,197.3,0.04683,2566.0,M,0.2872788277324754,0.9979106645232064,0.9905995690860332,0.01622038146349159,0.004659772172205438,0.991 +/- 0.016
7,Proxima Cen b,Proxima Cen,1.02,218.0,0.04848,2900.0,M,0.2961217166366913,0.9986011586049954,0.9882950325191918,0.013407001770143468,0.0039701043791260425,0.988 +/- 0.013
8,Wolf 1069 b,Wolf 1069,1.08,250.1,0.0672,3158.0,M,0.2725844228254213,0.998422092113005,0.9866241304343877,0.01561213908134799,0.0042556259205594445,0.987 +/- 0.016
9,TRAPPIST-1 e,TRAPPIST-1,0.92,249.7,0.02925,2566.0,M,0.2785054985135028,0.9983075199464132,0.9865480190948213,0.019073014637040104,0.00531193944964419,0.987 +/- 0.019
10,LHS 1140 b,LHS 1140,1.73,226.0,0.0946,3096.0,M,0.3560085189608912,1.0,0.9798693089624334,0.03891100526449967,0.013852649355493967,0.980 +/- 0.039
11,TOI-700 d,TOI-700,1.073,268.8,0.1633,3459.0,M,0.2354418583669683,0.9966055497361044,0.9786409321011259,0.026890042231973495,0.006331041514662099,0.979 +/- 0.027
12,GJ 273 b,GJ 273,1.51,267.51649054386075,0.091101,3382.0,M,0.2827511337336298,0.9812948491442706,0.9780841882674661,0.010034370004950482,0.0028372294952024773,0.978 +/- 0.010
13,Teegarden's Star b,Teegarden's Star,1.05,277.0,0.0259,3034.0,M,0.2887249990342292,0.9800753944639992,0.9769276465616622,0.014093659968433831,0.004069191960774813,0.977 +/- 0.014
14,Teegarden's Star d,Teegarden's Star,0.954,159.0,0.0791,3034.0,M,0.2887249990342292,0.9619611228001808,0.9745112479560555,0.032250254801839864,0.00931145478651486,0.975 +/- 0.032
15,GJ 251 c,GJ 251,1.8,216.0,0.196,3342.0,M,0.2837168615981652,0.9998569260031384,0.9737298092244273,0.046308402468746554,0.013138474614057498,0.974 +/- 0.046
16,L 98-59 f,L 98-59,1.48,285.0,0.1052,3415.0,M,0.2697750529855427,0.9779371676189292,0.9727996064631187,0.01756953008678199,0.004739820910092699,0.973 +/- 0.018
17,Wolf 1061 c,Wolf 1061,1.66,273.76967919623274,0.089,3342.0,M,0.2873564050173818,0.9711786922402872,0.9725609356916448,0.00845049496653337,0.0024283038542005095,0.973 +/- 0.008
18,GJ 1061 c,GJ 1061,1.19,278.1745602695227,0.0342,2953.0,M,0.2891815451091257,0.9675450756212493,0.9714026478823314,0.00996912839668624,0.0028828879531449876,0.971 +/- 0.010
19,TRAPPIST-1 d,TRAPPIST-1,0.788,286.2,0.02227,2566.0,M,0.2743358349667879,0.975526044194751,0.9710958276734891,0.026654499841335902,0.007312284469595,0.971 +/- 0.027
20,TOI-700 e,TOI-700,0.953,272.9,0.134,3459.0,M,0.2292975139163905,0.9711690373058864,0.9700043026831691,0.02058773111343878,0.004720715561490635,0.970 +/- 0.021
21,TRAPPIST-1 h,TRAPPIST-1,0.755,171.7,0.06189,2566.0,M,0.2754126252898152,0.9600594288177507,0.9692767269856677,0.04187123258461049,0.01153186609024803,0.969 +/- 0.042
22,HN Lib b,HN Lib,2.2,234.4,0.1417,3347.0,M,0.2818396450574715,0.9967416585145256,0.9692032283270255,0.060086415845569494,0.016934734114690937,0.969 +/- 0.060
23,GJ 682 b,GJ 682,1.93,257.8751305921345,0.08,3028.0,M,0.2853496797443083,0.9985449274040896,0.9665787581788904,0.056480390746617,0.016116661411380555,0.967 +/- 0.056
24,Proxima Cen d,Proxima Cen,0.692,282.0,0.02881,2900.0,M,0.2961217166366913,0.9658166384839774,0.9665584128640595,0.024766824051032425,0.007333994453630614,0.967 +/- 0.025
25,Ross 128 b,Ross 128,1.11,301.0,0.0496,3192.0,M,0.2900452875217167,0.9675019851675885,0.9657279887140529,0.019519364147204295,0.005661499586316958,0.966 +/- 0.020
26,G 261-6 b,G 261-6,1.1,322.3,0.02971,2907.0,M,0.2697553601254729,0.9650671762142944,0.9653106469917226,0.009755607838241392,0.002631627505647693,0.965 +/- 0.010
27,K2-72 e,K2-72,1.29,261.9139241774622,0.106,3360.47,M,0.1543868514028116,0.9700163074841104,0.9651806306894999,0.029933188166934768,0.004621290673540957,0.965 +/- 0.030
28,TRAPPIST-1 c,TRAPPIST-1,1.097,339.7,0.0158,2566.0,M,0.2820110300512901,0.9642431327171638,0.9643612489483706,0.027485110987907062,0.007751104460773701,0.964 +/- 0.027
29,GJ 1061 b,GJ 1061,1.04,354.9938390179716,0.021,2953.0,M,0.2891815451091257,0.964981686609206,0.9640117720493995,0.019742816779479793,0.005709258261096339,0.964 +/- 0.020
30,YZ Cet c,YZ Cet,1.05,410.3,0.02156,3151.0,M,0.2890679479976662,0.964968417932806,0.9630064738838936,0.0064905053108855314,0.0018761970516856352,0.963 +/- 0.006
31,YZ Cet d,YZ Cet,1.03,356.7,0.02851,3151.0,M,0.2890679479976662,0.9649446063540752,0.9628994407352817,0.007273292801553756,0.0021024758253313414,0.963 +/- 0.007
32,GJ 357 b,GJ 357,1.2,518.0,0.036,3505.0,M,0.3804860838396054,0.9668827327466076,0.9628535219662825,0.022099175925455863,0.00840842890395919,0.963 +/- 0.022
33,Ross 508 b,Ross 508,1.83,268.7874257072708,0.05366,3071.0,M,0.2681856527052388,0.9698904068057532,0.9622535570814068,0.030272817239806533,0.008118735250683922,0.962 +/- 0.030
34,L 98-59 c,L 98-59,1.329,526.0,0.0309,3415.0,M,0.3662096938863819,0.9662346788106214,0.9622399725003837,0.01930142974060858,0.007068370676877776,0.962 +/- 0.019
35,Wolf 1061 b,Wolf 1061,1.21,421.759347337682,0.0375,3342.0,M,0.2873564050173818,0.9630157672843148,0.9621609008712981,0.013597480014514772,0.003907322974266662,0.962 +/- 0.014
36,GJ 273 c,GJ 273,1.06,422.8264160529913,0.036467,3382.0,M,0.2827511337336298,0.9631262176386676,0.9619017840894425,0.015385962122317562,0.004350398233667976,0.962 +/- 0.015
37,G 192-15 b,G 192-15,1.02,453.6,0.01723,2999.0,M,0.272726939946837,0.9639972415135388,0.9617692717642428,0.008036013934809075,0.00219163748981062,0.962 +/- 0.008
38,LHS 475 b,LHS 475,0.991,586.0,0.02037,3300.0,M,0.2953446014460248,0.965015109874285,0.9616555509310722,0.014812567958461715,0.004374811980084032,0.962 +/- 0.015
39,GJ 1132 b,GJ 1132,1.19151465,583.8,0.0157,3229.0,M,0.3017550808175614,0.964085391104778,0.9612821901292354,0.0198638024247375,0.005994003306020736,0.961 +/- 0.020
40,L 98-59 b,L 98-59,0.837,620.0,0.0223,3415.0,M,0.3037518371643072,0.9596679121964778,0.9609654768109,0.009929509774794391,0.0030161068362347426,0.961 +/- 0.010
41,HD 260655 b,HD 260655,1.24,709.0,0.02933,3803.0,K,0.410577058069172,0.9669758595347988,0.960922652244442,0.0360268060978301,0.014791780059275589,0.961 +/- 0.036
42,LHS 1140 c,LHS 1140,1.272,422.0,0.027,3096.0,M,0.2967329124027677,0.9646650026979264,0.9607794292108124,0.02325665651444427,0.006901015420281848,0.961 +/- 0.023
43,GJ 581 e,GJ 581,1.38,507.0780174577935,0.02799,3500.0,M,0.2816883941353841,0.962753921528306,0.9607091764588438,0.013028577192939506,0.0036699989873480196,0.961 +/- 0.013
44,Kepler-1649 c,Kepler-1649,1.06,234.0,0.0649,3240.0,M,0.1206164610930155,0.970955033078144,0.9605839950415539,0.03362022414791833,0.004055152457875851,0.961 +/- 0.034
