round,planet_idx,planet_name,mu_before,sigma_before,mu_after,sigma_after,delta,sigma_reduction,weather,detectability,snr_effective,cost_hrs,obs_number
1,889,HD 219134 b,0.9347806407045778,0.05865476483774356,0.8997533109114143,0.05181934352018194,-0.03502732979316345,0.006835421317561617,0.855,0.7811587365719382,0.6678907197690072,0.5762062792861947,1
1,33,55 Cnc e,0.8711207451713274,0.12600360510926537,0.9921057872930248,0.11048795533673685,0.12098504212169738,0.01551564977252852,0.855,0.7646586140516781,0.45332273135992024,0.881682351603078,1
1,890,HD 219134 c,0.9559284171855273,0.025019821815742062,0.93704504402731,0.02210395788635157,-0.01888337315821734,0.002915863929390493,0.855,0.7811446147714087,0.6678786456295545,0.8559979459528614,1
1,256,GJ 436 b,0.7164421849139692,0.10317063243601672,0.7677030760003143,0.09087390555864953,0.05126089108634516,0.012296726877367187,0.855,0.7745293811566667,0.66222262088895,0.8453499723369315,1
1,4498,LTT 1445 A b,0.9506247478594868,0.05748948850061732,0.6979287779381361,0.04563838289838385,-0.2526959699213507,0.011851105602233465,0.855,0.5571403268092124,0.18136607943537544,0.8455364080262457,1
1,4499,LTT 1445 A c,0.9563918739921335,0.042700948545812197,0.254491325712249,0.031088852136408628,-0.7019005482798846,0.011612096409403569,0.855,0.3926499729598861,0.051828307659794216,0.8094530746929124,1
1,4473,L 98-59 d,0.8541177096406087,0.13901708432911924,0.839714556268199,0.09860968338588705,-0.014403153372409752,0.0404074009432322,0.855,0.3458374977213453,0.03079057895976719,0.8427775905287014,1
1,259,GJ 486 b,0.95697089683531,0.030388383463141818,0.7855354111289665,0.02263448286561697,-0.17143548570634348,0.007753900597524847,0.855,0.4345999446277241,0.08060088814685197,0.8372348593010097,1
1,950,HD 260655 c,0.958299220558236,0.04275091938528729,0.9940740616904157,0.03158553603568569,0.0357748411321797,0.011165383349601606,0.855,0.4195676473074769,0.07309648142234733,0.8455572991111802,1
2,5506,pi Men c,0.9025747890640569,0.10762031000837179,0.9727723177209777,0.08940792840227682,0.07019752865692082,0.018212381606094966,0.772,0.6909297262598892,0.3241553321442145,0.7164361066626623,1
2,236,GJ 367 b,0.9422833380938611,0.057108050749393326,1.0,0.038625966197687926,0.26211107937784234,0.0184820845517054,0.772,0.3049159781687287,0.010314088101980153,0.8279534807137292,1
2,949,HD 260655 b,0.960922652244442,0.0360268060978301,0.7992005626102063,0.025889973324347244,-0.1617220896342356,0.010136832773482856,0.772,0.410577058069172,0.06067545792118055,0.8526406324445135,1
2,232,GJ 357 b,0.9628535219662825,0.022099175925455863,0.46561690701555514,0.015615154694656406,-0.49723661495072735,0.006484021230799457,0.772,0.3804860838396054,0.04339050855369481,0.855684120284438,1
2,50,AU Mic b,0.7004244558813766,0.09950950652299134,0.6190398419483994,0.0859398217996175,-0.08138461393297716,0.013569684723373845,0.772,0.7730857196081409,0.5968221755374847,0.9383037392171191,1
2,293,GJ 887 b,0.9249933637423493,0.0696292388786412,1.0,0.04668779485661705,0.22581058388084832,0.022941444022024145,0.772,0.2902999139625293,0.002241115335790726,0.8524329691205779,1
2,283,GJ 806 b,0.9550264866619163,0.027301286783734734,1.0,0.019041511407448957,1.0135943150753188,0.008259775376285777,0.772,0.3576459642255125,0.03476331804189815,0.8534986592296607,1
2,614,HD 136352 b,0.9295709835970064,0.07805315058556904,0.9290675806013682,0.06697298286194873,-0.0005034029956382788,0.011080167723620304,0.772,0.7591082486582905,0.5358322936937031,0.9911963184119916,1
2,296,GJ 887 e,0.9367899294118992,0.057886900757451176,0.0,0.03881432270370915,-1.1411346790352221,0.019072578053742024,0.772,0.2902999139625293,0.002241115335790726,0.8524329691205779,1
3,1096,HD 63433 b,0.8782269108324846,0.10637723034429657,0.8529288841013069,0.08681372457507079,-0.025298026731177706,0.019563505769225775,0.736,0.6722327710096592,0.294770571339164,0.746243307267616,1
3,790,HD 189733 b,0.69177766591008,0.07447844806043155,0.7573443556065362,0.06323736061833808,0.0655666896964562,0.01124108744209347,0.736,0.7546731445527537,0.5554394343908267,0.9259010943831546,1
3,4558,Proxima Cen d,0.9665584128640595,0.024766824051032425,1.0,0.01648600390217719,0.18492953573191503,0.008280820148855235,0.736,0.2961217166366913,0.002179455834446048,0.8410406163415212,1
3,4472,L 98-59 c,0.9622399725003837,0.01930142974060858,0.23121801552286936,0.013389090624812127,-0.7310219569775144,0.005912339115796453,0.736,0.3662096938863819,0.0356289984971159,0.8611109238620347,1
3,4557,Proxima Cen b,0.9882950325191916,0.013407001770143468,0.9991274184441905,0.01,0.010832385924998897,0.003407001770143468,0.736,0.2961217166366913,0.002179455834446048,0.8410406163415212,1
3,1228,HD 97658 b,0.9007347284751829,0.08786442462735419,1.0,0.06844256798618727,0.10980159874799206,0.019421856641166926,0.736,0.5793913440070355,0.19825902266040224,0.976261521983955,1
3,84,Barnard e,0.9568329398051496,0.019406928572421524,1.0,0.012906151600802867,0.8033135871979122,0.006500776971618657,0.736,0.2945700909652604,0.0021680358695043167,0.8440972015708867,1
3,838,HD 207496 b,0.8066939738101421,0.11816434107983743,0.2123556032756485,0.08735281457632728,-0.5943383705344936,0.030811526503510156,0.736,0.4801213066915757,0.11829056645792659,0.9394277282835962,1
3,4572,Ross 128 b,0.9657279887140526,0.019519364147204295,0.5698731268643283,0.012945595895876972,-0.3958548618497243,0.0065737682513273225,0.736,0.2900452875217167,0.002134733316159835,0.8529265876782912,1
4,53,BD+05 4868 A b,0.8466884074534496,0.10854399389020823,0.8924225309136719,0.09052519919465782,0.045734123460222174,0.018018794695550414,0.772,0.6989886748737024,0.5032544749151184,0.788285209459717,1
4,81,Barnard b,0.9582965173889612,0.01,1.0,0.01,1.8478328467845546,0.0,0.772,0.2945700909652604,0.00227408110225181,0.8440972015708867,1
4,82,Barnard c,0.9580907843823726,0.01,1.0,0.01,1.1237561527201239,0.0,0.772,0.2945700909652604,0.00227408110225181,0.8440972015708867,1
4,83,Barnard d,0.9570665133039716,0.01,0.0,0.01,-1.053125661372632,0.0,0.772,0.2945700909652604,0.00227408110225181,0.8440972015708867,1
4,171,GJ 1061 b,0.9640117720493997,0.019742816779479793,1.0,0.013229120926982132,0.9268288233005029,0.006513695852497661,0.772,0.2891815451091257,0.0022324815282424504,0.8545982265665596,1
4,4471,L 98-59 b,0.9609654768109,0.01,0.6025956914675421,0.01,-0.3583697853433579,0.0,0.772,0.3037518371643072,0.010914010451617976,0.8498609238620347,1
4,470,HD 101581 c,0.9601301185937666,0.020723634762793597,0.8954432564014856,0.014628664566527854,-0.06468686219228098,0.006094970196265743,0.772,0.3787319997155596,0.046198900168130955,0.8916083176670131,1
4,223,GJ 3323 b,0.9597066566300068,0.028268177812886465,0.6418345181428626,0.018886547999019253,-0.3178721384871441,0.009381629813867212,0.772,0.2843011531229244,0.0021948049021089768,0.8639640333960714,1
4,469,HD 101581 b,0.9604204697462184,0.018671920014524526,1.0,0.013182244253909316,0.1603247574120848,0.005489675760615209,0.772,0.3789824232932531,0.046330449039401075,0.8920249843336797,1
5,291,GJ 876 d,0.6776088482637032,0.14693568814005056,1.0,0.09711257620162841,1.6263698089038687,0.04982311193842215,0.732,0.2862972980714249,0.0020956962218828304,0.6101493344569253,1
5,240,GJ 393 b,0.9469468165039527,0.044558613123078426,0.005395076961579259,0.029330797570677077,-0.9415517395423735,0.015227815552401349,0.732,0.2796300765948691,0.002046892160674442,0.8728075031330462,1
5,172,GJ 1061 c,0.9714026478823314,0.01,1.0,0.01,0.8241571081250003,0.0,0.732,0.2891815451091257,0.0021168089101988,0.8545982265665596,1
5,4829,TOI-2134 b,0.7174035215455388,0.0846559547079377,0.7276743619095866,0.06996218110821541,0.010270840364047792,0.014693773599722293,0.732,0.7000738323011156,0.3250656278749795,0.9867577010516145,1
5,318,Gl 725 A b,0.9603645990714845,0.017472494320080852,1.0,0.011571121899945079,0.780747084152071,0.005901372420135774,0.732,0.2896196396422029,0.002120015762180925,0.8537509038818759,1
5,5460,Wolf 1061 b,0.9621609008712981,0.013597480014514772,1.0,0.01,0.8160846825550593,0.0035974800145147715,0.732,0.2873564050173818,0.002103448884727235,0.8581164051863736,1
5,185,GJ 15 A b,0.9560313549036175,0.01940619461258635,0.8528603330219084,0.012850791910079347,-0.10317102188170905,0.006555402702507004,0.732,0.2895012673304661,0.002119149276859012,0.853979958404391,1
5,282,GJ 740 b,0.940404393187972,0.05648751257906925,1.0,0.0369310174067528,0.6486924847462943,0.019556495172316446,0.732,0.2684770605298851,0.001965252083078759,0.8934883384142135,1
5,206,GJ 273 c,0.9619017840894425,0.015385962122317562,1.0,0.010147048997101508,1.179501503047225,0.005238913125216054,0.732,0.2827511337336298,0.0020697382989301703,0.866911295948074,1
6,266,GJ 581 e,0.9607091764588438,0.013028577192939506,0.0,0.01,-1.0702905578017492,0.0030285771929395057,0.77,0.2816883941353841,0.0021690006348424576,0.6189246677438168,1
6,201,GJ 238 b,0.9469479008576548,0.029845967554038025,1.0,0.019737017774069745,1.2281310678247352,0.01010894977996828,0.77,0.2682399006946763,0.002995714033669287,0.8813212693607193,1
6,1315,HR 858 b,0.8846460544985776,0.11274127872543573,1.0,0.0810047224681215,0.12568619964337258,0.031736556257314225,0.77,0.4112525213457131,0.08434505497517725,1.0109854696472653,1
6,250,GJ 4274 b,0.9467411270356602,0.04597641144751899,1.0,0.030603003212517868,1.4764572573017423,0.01537340823500112,0.77,0.2790600173553392,0.002148762133636112,0.9101790467685441,1
6,272,GJ 676 A d,0.9271687990206166,0.06583954455210062,0.0,0.043205847746572434,-1.9869864559280441,0.02263369680552818,0.77,0.2555736112125773,0.0019679168063368455,0.916746465206867,1
6,233,GJ 357 c,0.9579290634752272,0.01795007408016691,0.9235785357678802,0.011904278581131309,-0.03435052770734705,0.006045795499035602,0.77,0.2729706757706892,0.002101874203434307,0.8852257869511047,1
6,5029,TOI-4527.01,0.9494408696708412,0.012901451037865263,0.5118594483930387,0.01,-0.43758142127780253,0.0029014510378652623,0.77,0.2688778336230524,0.0052617650410029596,0.8761558781015575,1
6,321,HAT-P-11 b,0.6790705734930637,0.07039351128415407,0.6030702875090187,0.05891020893768558,-0.07600028598404497,0.011483302346468487,0.77,0.707174685671155,0.38489479573525565,1.0169417426098972,1
6,253,GJ 433 b,0.7895476624400685,0.07405982154298633,0.0,0.04914616874788824,-1.8511426680152148,0.024913652795098093,0.77,0.2740024025160008,0.002109818499373206,0.8833157565906713,1
7,5123,TOI-5789 c,0.6759683792032767,0.11333013921581331,0.6420753984299229,0.09364122232046652,-0.033892980773353766,0.019688916895346784,0.75,0.6906734159248361,0.3183474859061408,0.6870235604401281,1
7,307,GJ 9827 d,0.8992851605139329,0.07576773588668252,0.6939786100924554,0.050189267206491556,-0.20530655042147752,0.025578468680190966,0.75,0.2810237223385601,0.016757314636410614,0.9408271376794913,1
7,169,GJ 1002 b,0.9921427630588755,0.01111230014910766,0.0,0.01,-1.0914573941137449,0.0011123001491076603,0.75,0.2858010029198117,0.0021435075218985875,0.90954981324838,1
7,883,HD 21749 c,0.9417083354586524,0.032715154676565175,0.3641139529962498,0.022430799826741364,-0.5775943824624026,0.010284354849823811,0.75,0.3390985613931088,0.029518596100582238,0.9395322182863348,1
7,5118,TOI-5734 b,0.8287015659179482,0.12220818161660028,1.0,0.08391943217794111,0.4100702688903402,0.038288749438659175,0.75,0.3417310540880722,0.044022774167964115,0.9998530083234675,1
7,36,61 Vir b,0.7455707874792887,0.07922339501496552,0.5884278414210952,0.05230469674066808,-0.15714294605819354,0.026918698274297437,0.75,0.275544537089946,0.002066584028174595,0.880451483134156,1
7,5245,Teegarden's Star b,0.9769276465616622,0.014093659968433831,1.0,0.01,0.9800444436411118,0.004093659968433831,0.75,0.2887249990342292,0.002165437492756719,0.9145800584636467,1
7,1317,HR 858 d,0.8702464520708321,0.10365110915253443,1.0,0.07509162411090835,0.7237071111631602,0.028559485041626087,0.75,0.4361630624328979,0.09836184304696499,1.0428604696472654,1
8,1316,HR 858 c,0.923226693650469,0.06472948731765045,0.9255518225511714,0.04468881080080935,0.0023251289007023388,0.020040676516841098,0.629,0.4114834988923044,0.0690217741647076,0.7667354696472654,1
8,5413,WASP-69 b,0.654817450987094,0.07156172878132311,0.6513886353874373,0.057324512553355716,-0.003428815599656696,0.014237216227967392,0.629,0.6881246406276322,0.4328303989547807,1.053746464091402,1
8,209,GJ 3090 b,0.7895106486374341,0.07935598664495111,0.0,0.05190238277496357,-1.103859913508441,0.02745360386998754,0.629,0.3206123894149758,0.022361349222414877,0.9399410147494262,1
8,5246,Teegarden's Star c,0.990749760757206,0.011906972924488467,0.0,0.01,-1.9642760048647752,0.0019069729244884665,0.629,0.2887249990342292,0.001816080243925302,0.9145800584636467,1
8,4489,LHS 475 b,0.9616555509310722,0.014812567958461715,0.7227334833055087,0.01,-0.2389220676255636,0.004812567958461715,0.629,0.2953446014460248,0.007721615545481518,0.9303121054400958,1
8,269,GJ 674 b,0.5813454970308478,0.09784630560954886,0.0,0.06266699173659863,-0.7195484103618932,0.03517931387295023,0.629,0.2866588620082487,0.0018030842420318845,0.8594560258107181,1
8,4469,L 168-9 b,0.9513486726170715,0.01643096563658007,1.0,0.010397245360585063,0.536177091248342,0.006033720275995006,0.629,0.2674589655518777,0.007873841775617004,0.9147373364206143,1
8,173,GJ 1061 d,0.990938529571597,0.011763816173718796,1.0,0.01,0.9373292751352336,0.001763816173718796,0.629,0.2891815451091257,0.0018189519187364008,0.8545982265665596,1
9,284,GJ 806 c,0.764160057090649,0.06899146315129688,0.5178048155350157,0.045146847626456856,-0.24635524155563332,0.023844615524840025,0.74,0.265957753477801,0.0019680873757357276,0.6480819925629941,1
9,5208,TOI-836 b,0.947440484337849,0.03668125250116921,1.0,0.024350537634044454,0.23808507210344454,0.012330714867124754,0.74,0.2896037467142299,0.01817501017254935,0.9566941027914133,1
9,4470,L 363-38 b,0.9230019440972372,0.06359774543522824,0.05326789378340624,0.04174120897927118,-0.869734050313831,0.02185653645595706,0.74,0.2708289591721033,0.0020041342978735647,0.9749751113579785,1
9,855,HD 209458 b,0.6576737484538976,0.0590332601379827,0.6849011861845552,0.04865218249721568,0.02722743773065763,0.010381077640767018,0.74,0.6903716609711804,0.5108750291186736,1.0808051894889434,1
9,246,GJ 411 b,0.9548275971824512,0.026632378509189817,0.0,0.017614089294954435,-1.6445182823591666,0.009018289214235382,0.74,0.2834468831685915,0.0020975069354475773,0.8655899608637276,1
9,4885,TOI-2427 b,0.940568664071919,0.01783059849185246,1.0,0.011570334295340285,0.27582539958356034,0.006260264196512176,0.74,0.2522582630396911,0.006815252436116781,0.9117955255593267,1
9,243,GJ 3998 b,0.9450124344473056,0.027149177181788255,1.0,0.0175950095947672,0.9542730284552736,0.009554167587021056,0.74,0.2502157322257616,0.001851596418470636,0.9262217301821237,1
9,265,GJ 581 c,0.7885518925946126,0.08323845755312327,0.0,0.054993597714489806,-2.1254521970017772,0.028244859838633465,0.74,0.2816883941353841,0.0020844941166018424,0.8689246677438168,1
10,264,GJ 581 b,0.5819266883963667,0.093291089004099,0.0,0.06284790775078188,-0.9649546929475613,0.03044318125331713,0.805,0.2816883941353841,0.002267591572789842,0.6189246677438168,1
10,918,HD 22496 b,0.7421377335617977,0.06835250309706808,1.0,0.045505386703205856,0.4914703786734207,0.022847116393862228,0.805,0.2618643115228418,0.0021080077077588765,0.9054897173737678,1
10,5002,TOI-431 d,0.6554170829857482,0.10222318518263498,0.7045428800098625,0.08198369830626992,0.04912579702411431,0.020239486876365065,0.805,0.6025172120883192,0.2574863865399443,1.0387976747640408,1
10,605,HD 134606 e,0.912662761584976,0.06273446459939508,1.0,0.04095288828594652,0.2502068873576386,0.021781576313448556,0.805,0.2294932172634423,0.0018474203989707104,0.9620522747698439,1
10,932,HD 235088 b,0.8695427674989507,0.1079933418993499,0.11383455487048366,0.07285954441901085,-0.755708212628467,0.035133797480339055,0.805,0.2841675097182414,0.02685096936609545,1.0415878413777655,1
10,1278,HIP 65 A b,0.647886331340682,0.09686864695878256,0.7631452554356306,0.08110538250512726,0.11525892409494867,0.015763264453655293,0.805,0.690679399409735,0.5559969165248367,1.1624079236698328,1
10,1027,HD 39194 b,0.8636629758377439,0.07425613477325942,1.0,0.04850000480562204,0.29766464236635165,0.025756129967637376,0.805,0.2303618825136961,0.0018544131542352535,0.9605726759376252,1
10,1065,HD 48948 b,0.7374087805539862,0.07733380855845681,0.8767019170439763,0.05122102039688003,0.13929313648999003,0.026112788161576785,0.805,0.2533417770851778,0.002039401305535681,0.9207054037366896,1
11,262,GJ 536 b,0.7535128428258485,0.04354280835681259,1.0,0.028927102447058154,0.7377230157950917,0.014615705909754435,0.781,0.2703427165523132,0.002111376616273566,0.6400688550716016,1
11,5511,rho CrB e,0.8993730235293192,0.08488371400113894,1.0,0.05576588294626881,0.5864377602957221,0.029117831054870126,0.781,0.251919974269757,0.001967494999046802,0.9232184531997321,1
11,305,GJ 9827 b,0.9465056860256614,0.02307114631349468,1.0,0.015222406302064471,0.48492348472305224,0.007848740011430207,0.781,0.259006931213973,0.009981047293046465,0.9422171376794913,1
11,5122,TOI-5789 b,0.9361526856801002,0.02803052320666123,0.8043178836849212,0.018331924252387076,-0.131834801995179,0.009698598954274155,0.781,0.2444966175471384,0.0019095185830431509,0.9362318937734615,1
11,5000,TOI-431 b,0.9354938955648241,0.029520901765254872,0.653390716994446,0.019330300809167318,-0.2821031785703781,0.010190600956087554,0.781,0.246501213824576,0.007904175999480012,0.9426624705973742,1
11,677,HD 15337 b,0.8782132840044468,0.1104031715261324,0.0,0.07183999229031343,-1.5197718407108296,0.038563179235818965,0.781,0.2362646865857681,0.01131766658828003,1.0483729677732565,1
11,653,HD 1461 b,0.7115130190655455,0.09287130925861502,1.0,0.06046969087231399,0.7840186486956153,0.032401618386301026,0.781,0.2372818024489798,0.0018531708771265323,0.9487217891674086,1
11,1098,HD 63433 d,0.9289015677241489,0.04066427489093204,1.0,0.026517761623547298,1.5516487563433732,0.014146513267384739,0.781,0.239786147648771,0.0018727298131369014,0.9687778239342827,1
12,944,HD 25463 b,0.6200094611419567,0.13572085240037135,0.1066411132941919,0.09744704517132459,-0.5133683478477647,0.03827380722904676,0.818,0.3859902952985352,0.08519570926069586,0.8340312006757131,1
12,5209,TOI-836.01,0.6076652466041782,0.08515891607973226,0.771323289245561,0.060606089061079456,0.1636580426413829,0.024552827018652808,0.818,0.3702056266995995,0.0592412075457611,0.9850691027914134,1
12,699,HD 156668 b,0.919387965121422,0.03386773654966085,0.7635023259889326,0.02227420708327808,-0.1558856391324893,0.011593529466382767,0.818,0.2352054704938005,0.001923980748639288,0.9522901061099175,1
12,867,HD 213885 b,0.8954596077799228,0.07670768021423359,0.16921450385762937,0.050099198466720986,-0.7262451039222935,0.026608481747512604,0.818,0.2237960357685529,0.009652002261744836,1.0109035263926092,1
12,4574,Ross 458 c,0.4374245478876446,0.11717707299253319,0.0,0.07857354130909919,-0.5523934679956112,0.038603531683434,0.818,0.2673847078281708,0.0021872069100344373,0.8954834343032615,1
12,227,GJ 3470 b,0.6057506232630613,0.10224251910993098,0.09364797790814394,0.07670471638317126,-0.5121026453549173,0.02553780272675972,0.818,0.4665581594360582,0.1265752517751196,1.087023454376346,1
12,51,AU Mic c,0.7535987980851305,0.10600218855583297,0.8035533905995585,0.09249779491305236,0.04995459251442802,0.01350439364278061,0.818,0.7725067257864296,0.6319105016932994,0.982053739217119,1
12,4474,L 98-59 e,0.9594915271889952,0.015606276145887188,0.7340207459156594,0.010479770825487511,-0.2254707812733358,0.005126505320399677,0.818,0.2697750529855427,0.002206759933421739,0.8911109238620347,1
13,665,HD 149026 b,0.6568759707251245,0.0580104900217971,0.7032273661843995,0.047046838644787085,0.04635139545927497,0.010963651377010011,0.772,0.6415142748798326,0.4238953152744615,0.9077877344429963,1
13,5427,WASP-80 b,0.6718183961142088,0.07260048194573065,0.7822155528057905,0.06036628497067715,0.11039715669158164,0.012234196975053506,0.772,0.6927150220229029,0.5347759970016811,1.228797943168505,1
13,4813,TOI-2076 e,0.8969218959820644,0.08862485890783903,1.0,0.05612765827326974,0.41516865599906544,0.03249720063456929,0.772,0.1972933040727567,0.0015231043074416817,1.0226331119117753,1
13,4792,TOI-198 b,0.9363639535141429,0.06762605272140801,0.06850753874070203,0.04496679582600195,-0.8678564147734409,0.022659256895406057,0.772,0.2763325632817491,0.01157920061799556,1.0589172344200757,1
