round,scheduler,n_selected,weather,time_used_hrs,alpha_t,beta_t,gamma,cum_sci_gain,mean_priority,mean_sigma_before,mean_sigma_after,top_target
1,Adaptive Scheduler,9,0.8548959633262609,7.34,0.5099,0.2862,0.2039,0.3696,0.9060751596512419,0.06946618315808284,0.06946618315808284,HD 219134 b
2,Adaptive Scheduler,9,0.7717099022273113,7.74,0.5195,0.2728,0.2078,0.6676,0.9128266134070212,0.06169271403438207,0.06169271403438207,pi Men c
3,Adaptive Scheduler,9,0.7364771506297693,7.83,0.5288,0.2597,0.2115,0.9327,0.9018986250478584,0.053698443599258884,0.053698443599258884,HD 63433 b
4,Adaptive Scheduler,9,0.7724562659848194,7.67,0.5378,0.2471,0.2151,1.0491,0.9472640795954496,0.026216727028876955,0.026216727028876955,BD+05 4868 A b
5,Adaptive Scheduler,9,0.7319418963398768,7.65,0.5465,0.2349,0.2186,1.1999,0.8993583184799269,0.04538887773551506,0.04538887773551506,GJ 876 d
6,Adaptive Scheduler,9,0.7702622962528994,8.0,0.5549,0.2232,0.222,1.366,0.893577914105617,0.04919295971302282,0.04919295971302282,GJ 581 e
7,Adaptive Scheduler,8,0.7500736165745823,7.31,0.563,0.2118,0.2252,1.5927,0.8663188862830586,0.06901270946008783,0.06901270946008783,TOI-5789 c
8,Adaptive Scheduler,8,0.6285451609020601,7.23,0.5708,0.2009,0.2283,1.7377,0.855449100522849,0.046050978880840324,0.046050978880840324,HR 858 c
9,Adaptive Scheduler,8,0.7395389408035422,7.23,0.5783,0.1904,0.2313,1.8669,0.8651546027844902,0.04789429162020385,0.04789429162020385,GJ 806 c
10,Adaptive Scheduler,8,0.805447949726506,7.61,0.5855,0.1804,0.2342,2.1214,0.7513306402200314,0.08538164675913074,0.08538164675913074,GJ 581 b
11,Adaptive Scheduler,8,0.7814662681783877,7.35,0.5924,0.1707,0.2369,2.2325,0.8737082505524869,0.05662348116488022,0.05662348116488022,GJ 536 b
12,Adaptive Scheduler,8,0.8176111765834141,7.64,0.5989,0.1615,0.2396,2.5067,0.7248484721340389,0.08406040525602279,0.08406040525602279,HD 25463 b
13,Adaptive Scheduler,7,0.7724721977965868,7.15,0.6052,0.1527,0.2421,2.6466,0.8586085063735082,0.04986427276444849,0.04986427276444849,HD 149026 b
14,Adaptive Scheduler,8,0.7215173794314328,7.95,0.6113,0.1442,0.2445,2.8461,0.7500988386562597,0.06551075895496951,0.06551075895496951,HD 73583 b
15,Adaptive Scheduler,7,0.7644914651417389,7.19,0.617,0.1362,0.2468,3.1342,0.687665768275332,0.10907409781446988,0.10907409781446988,TOI-2443 b
16,Adaptive Scheduler,8,0.8626246969161606,7.74,0.6225,0.1285,0.249,3.2799,0.8005822864569639,0.06544294179820018,0.06544294179820018,HN Peg b
17,Adaptive Scheduler,8,0.7437304947356078,7.8,0.6277,0.1213,0.2511,3.5633,0.7143273756849066,0.09035042898456858,0.09035042898456858,GJ 900 b
18,Adaptive Scheduler,8,0.7727985466262061,7.92,0.6326,0.1143,0.253,3.7565,0.7209591242290192,0.0684298555150212,0.0684298555150212,HD 73344 b
19,Adaptive Scheduler,7,0.7701567182699915,7.45,0.6373,0.1077,0.2549,3.9437,0.7320372088280118,0.07783401621340177,0.07783401621340177,KELT-24 b
20,Adaptive Scheduler,7,0.744055671007734,7.62,0.6418,0.1015,0.2567,4.1304,0.6365019308632593,0.06479526861310682,0.06479526861310682,TOI-5082.01
21,Adaptive Scheduler,8,0.741383515976923,7.66,0.646,0.0956,0.2584,4.2427,0.7181756922752567,0.056249336806663816,0.056249336806663816,HD 130322 b
22,Adaptive Scheduler,7,0.8148690937009792,7.64,0.65,0.09,0.26,4.4221,0.6002701205842419,0.07100784681030103,0.07100784681030103,WASP-8 b
23,Adaptive Scheduler,7,0.8809620797793818,7.42,0.6538,0.0847,0.2615,4.637,0.588366005152882,0.09971205883934113,0.09971205883934113,GJ 422 b
24,Adaptive Scheduler,8,0.8942171778736738,7.8,0.6574,0.0796,0.263,4.7867,0.565399902972366,0.06698899468691293,0.06698899468691293,GJ 163 b
25,Adaptive Scheduler,8,0.8954685674643468,7.8,0.6608,0.0749,0.2643,4.9552,0.6121270649813124,0.07568660200918559,0.07568660200918559,51 Peg b
26,Adaptive Scheduler,7,0.93235110193569,7.3,0.664,0.0704,0.2656,5.1543,0.6328474983416355,0.0832790034513164,0.0832790034513164,HD 75289 b
27,Adaptive Scheduler,8,0.7265577491438477,7.91,0.667,0.0662,0.2668,5.2982,0.7389359539451479,0.062071575010581186,0.062071575010581186,GJ 682 b
28,Adaptive Scheduler,7,0.820537453915826,7.98,0.6699,0.0622,0.268,5.5287,0.6144193148413886,0.10255552226219179,0.10255552226219179,TOI-2128 b
29,Adaptive Scheduler,8,0.7035882943395422,7.89,0.6726,0.0584,0.269,5.6599,0.5903728688434451,0.05809802688871972,0.05809802688871972,KELT-2 A b
30,Adaptive Scheduler,7,0.7369873257385051,7.22,0.6751,0.0548,0.2701,5.7872,0.7268750187501503,0.06924934120064043,0.06924934120064043,HD 102195 b
