round,scheduler,n_selected,weather,time_used_hrs,alpha_t,beta_t,gamma,cum_sci_gain,mean_priority,mean_sigma_before,mean_sigma_after,top_target
1,Detectability Greedy,9,0.6324480602263478,7.98,0.0,0.0,1.0,0.5752,0.8078941569993927,0.08394978584794781,0.08394978584794781,HD 219134 b
2,Detectability Greedy,8,0.702256228681631,7.91,0.0,0.0,1.0,1.0943,0.762793159083316,0.09352308490258021,0.09352308490258021,GJ 143 b
3,Detectability Greedy,7,0.6655581494816287,7.42,0.0,0.0,1.0,1.5495,0.6999835047378393,0.09304078404224449,0.09304078404224449,HD 136352 c
4,Detectability Greedy,6,0.7244873796345312,7.27,0.0,0.0,1.0,1.813,0.6678341406578124,0.06657213696203118,0.06657213696203118,HD 136352 d
5,Detectability Greedy,6,0.7993973800193066,7.59,0.0,0.0,1.0,2.0402,0.6457024754276874,0.06084294564616641,0.06084294564616641,TOI-1898 b
6,Detectability Greedy,7,0.7533788455774311,7.98,0.0,0.0,1.0,2.3294,0.6850427079893489,0.06900928435027516,0.06900928435027516,TOI-257 b
7,Detectability Greedy,6,0.7119908118863714,7.96,0.0,0.0,1.0,2.6509,0.7036219711164252,0.0842955499705496,0.0842955499705496,TOI-2134 c
8,Detectability Greedy,6,0.7360987497618231,7.75,0.0,0.0,1.0,2.9224,0.6384310812011315,0.07572579858989288,0.07572579858989288,TOI-1823 b
9,Detectability Greedy,6,0.7492523647788133,7.97,0.0,0.0,1.0,3.1056,0.615291392270069,0.052224182260546675,0.052224182260546675,TOI-2010 b
10,Detectability Greedy,6,0.7144668131450812,7.85,0.0,0.0,1.0,3.359,0.614063956061126,0.06963935697290784,0.06963935697290784,HD 95338 b
11,Detectability Greedy,6,0.7358435324988352,7.84,0.0,0.0,1.0,3.5578,0.6315150287810328,0.059731931511278556,0.059731931511278556,HD 202772 A b
12,Detectability Greedy,6,0.6377808325589124,7.86,0.0,0.0,1.0,3.7434,0.6082693464470114,0.05962773278418305,0.05962773278418305,HD 2685 b
13,Detectability Greedy,6,0.6372592820512188,7.93,0.0,0.0,1.0,3.9232,0.5788284952537274,0.0596015012315964,0.0596015012315964,TOI-2076 c
14,Detectability Greedy,5,0.5756744316490979,7.52,0.0,0.0,1.0,4.0172,0.5631095107323266,0.03843200071031864,0.03843200071031864,WASP-132 b
15,Detectability Greedy,6,0.6769795546771528,7.21,0.0,0.0,1.0,4.2203,0.6685228059139378,0.07299190504340793,0.07299190504340793,HAT-P-60 b
16,Detectability Greedy,5,0.6811513043009864,7.42,0.0,0.0,1.0,4.341,0.5588208695996242,0.05185841666911587,0.05185841666911587,TOI-2449 b
17,Detectability Greedy,6,0.7137385617557257,7.52,0.0,0.0,1.0,4.552,0.7536165771714259,0.08055529568651788,0.08055529568651788,WD 1856+534 b
18,Detectability Greedy,7,0.6723396618369653,7.96,0.0,0.0,1.0,4.7359,0.756256685696792,0.06474706746173434,0.06474706746173434,WASP-79 b
19,Detectability Greedy,6,0.5987862619049563,7.68,0.0,0.0,1.0,4.9413,0.5839664845929085,0.0849776230641714,0.0849776230641714,TOI-1231 b
20,Detectability Greedy,6,0.5425705405958371,7.74,0.0,0.0,1.0,5.038,0.6796616352279194,0.041887001664746404,0.041887001664746404,TOI-2447 b
21,Detectability Greedy,6,0.5097301018155597,7.25,0.0,0.0,1.0,5.1732,0.620664871900195,0.059843226279390926,0.059843226279390926,WASP-101 b
22,Detectability Greedy,7,0.6265231949535498,7.85,0.0,0.0,1.0,5.306,0.6795017058673941,0.05137602733746416,0.05137602733746416,Qatar-6 b
23,Detectability Greedy,6,0.6838997934772946,7.94,0.0,0.0,1.0,5.4411,0.545813650694916,0.0628266431057428,0.0628266431057428,HD 191939 d
24,Detectability Greedy,6,0.7625374521738179,7.58,0.0,0.0,1.0,5.5935,0.7181120370173337,0.07164426460450327,0.07164426460450327,HD 183579 b
25,Detectability Greedy,6,0.7865040994902659,7.81,0.0,0.0,1.0,5.7331,0.5949987009643528,0.06747271447013177,0.06747271447013177,HD 191939 c
26,Detectability Greedy,7,0.6382364346762219,7.95,0.0,0.0,1.0,5.9147,0.6855294092023948,0.07682094130917613,0.07682094130917613,TOI-2076 b
27,Detectability Greedy,7,0.7190106291880215,7.99,0.0,0.0,1.0,6.1065,0.6276633422439026,0.08308764620122967,0.08308764620122967,HD 18599 b
28,Detectability Greedy,6,0.5905277606569891,7.94,0.0,0.0,1.0,6.2455,0.6211100757687311,0.0706036576855002,0.0706036576855002,HAT-P-70 b
29,Detectability Greedy,5,0.6503036448110424,7.41,0.0,0.0,1.0,6.3172,0.5235256499547111,0.045742934246022916,0.045742934246022916,HAT-P-8 b
30,Detectability Greedy,6,0.7076961016962958,7.71,0.0,0.0,1.0,6.4366,0.7076579126598849,0.06438550357098594,0.06438550357098594,TOI-270 d
