round,scheduler,n_selected,weather,time_used_hrs,alpha_t,beta_t,gamma,cum_sci_gain,mean_priority,mean_sigma_before,mean_sigma_after,top_target
1,Oracle,9,0.6701858489890798,7.46,0.5099,0.2862,0.2039,0.4261,0.8998835561518885,0.07667389322731445,0.07667389322731445,HD 219134 b
2,Oracle,9,0.7076799982130381,7.71,0.5195,0.2728,0.2078,0.7268,0.8968319296156747,0.06772801886013159,0.06772801886013159,HD 260655 c
3,Oracle,9,0.6903921274590853,7.92,0.5288,0.2597,0.2115,1.0029,0.910858292198491,0.05034705423127819,0.05034705423127819,HD 136352 b
4,Oracle,9,0.7028134389768182,7.5,0.5378,0.2471,0.2151,1.0535,0.9590729397215105,0.018135149869675626,0.018135149869675626,Ross 128 b
5,Oracle,9,0.7122321314179192,7.65,0.5465,0.2349,0.2186,1.1615,0.932231670515615,0.02870026148470361,0.02870026148470361,TOI-2134 b
6,Oracle,8,0.7306972977582868,7.19,0.5549,0.2232,0.222,1.325,0.8989036935706968,0.05392699682099526,0.05392699682099526,GJ 238 b
7,Oracle,8,0.6371369057023802,7.25,0.563,0.2118,0.2252,1.5558,0.8559220975884425,0.07007842002039272,0.07007842002039272,TOI-5789 c
8,Oracle,8,0.6823258628190269,7.25,0.5708,0.2009,0.2283,1.6948,0.8839028503248908,0.0455736100759134,0.0455736100759134,TOI-5734 b
9,Oracle,8,0.7381029024190188,7.45,0.5783,0.1904,0.2313,1.8627,0.827414808227821,0.06444261000001207,0.06444261000001207,GJ 3090 b
10,Oracle,8,0.80226025942318,7.34,0.5855,0.1804,0.2342,2.1053,0.7694757061196966,0.07879813364169061,0.07879813364169061,TOI-431 d
11,Oracle,8,0.753940289116293,7.35,0.5924,0.1707,0.2369,2.2179,0.8531105644995735,0.057120317879764286,0.057120317879764286,HD 22496 b
12,Oracle,8,0.6781822820850096,7.71,0.5989,0.1615,0.2396,2.3857,0.8562421404183682,0.05862461946660171,0.05862461946660171,HD 63433 d
13,Oracle,7,0.8049225835615864,7.16,0.6052,0.1527,0.2421,2.6556,0.6714320893946412,0.09933803190256096,0.09933803190256096,Ross 458 c
14,Oracle,8,0.8599339114655162,7.99,0.6113,0.1442,0.2445,2.8145,0.8116861475616564,0.053064602868897526,0.053064602868897526,HAT-P-22 b
15,Oracle,8,0.830977916566305,7.98,0.617,0.1362,0.2468,3.0133,0.7800775270392449,0.06846090302900092,0.06846090302900092,WASP-107 b
16,Oracle,8,0.8129336241217783,7.99,0.6225,0.1285,0.249,3.2737,0.8177652499964714,0.08509450691322887,0.08509450691322887,AU Mic c
17,Oracle,8,0.8082326452251115,7.7,0.6277,0.1213,0.2511,3.463,0.6709248051952393,0.08731445795081264,0.08731445795081264,HN Peg b
18,Oracle,7,0.8186955716784006,7.46,0.6326,0.1143,0.253,3.7014,0.6421575957509432,0.0752494002387896,0.0752494002387896,HD 73344 b
19,Oracle,8,0.7743751115532492,7.99,0.6373,0.1077,0.2549,3.9809,0.734210993540549,0.09009599723853468,0.09009599723853468,HD 63433 c
20,Oracle,7,0.7781272728037506,7.36,0.6418,0.1015,0.2567,4.1431,0.6404025467929138,0.061704497254345195,0.061704497254345195,GJ 1214 b
21,Oracle,8,0.8713739322822832,7.83,0.646,0.0956,0.2584,4.2974,0.6355205452524484,0.06695916364498966,0.06695916364498966,ups And b
22,Oracle,7,0.701525785829671,7.18,0.65,0.09,0.26,4.4282,0.7792959320348312,0.054417405927395905,0.054417405927395905,HD 130322 b
23,Oracle,7,0.7217354851314677,7.47,0.6538,0.0847,0.2615,4.5978,0.6362416914874137,0.07193099628280337,0.07193099628280337,KELT-11 b
24,Oracle,7,0.6732552902213471,7.15,0.6574,0.0796,0.263,4.7519,0.5733651661305227,0.088173455280026,0.088173455280026,HD 330075 b
25,Oracle,7,0.7608393241643654,7.24,0.6608,0.0749,0.2643,4.9699,0.6240020377794938,0.09033704092667628,0.09033704092667628,HIP 94235 b
26,Oracle,8,0.7389409438598737,7.57,0.664,0.0704,0.2656,5.1672,0.5362133949221795,0.07956488161828007,0.07956488161828007,HD 63454 b
27,Oracle,8,0.6776366676273097,7.93,0.667,0.0662,0.2668,5.3431,0.7289649865131919,0.0648139160243276,0.0648139160243276,GJ 86 b
28,Oracle,7,0.7514162741808615,7.98,0.6699,0.0622,0.268,5.4999,0.5942976125295979,0.07061062640551916,0.07061062640551916,WASP-84 b
29,Oracle,7,0.5949418150255604,7.29,0.6726,0.0584,0.269,5.6202,0.5613719529912923,0.07913365627734492,0.07913365627734492,MASCARA-4 b
30,Oracle,8,0.6603751998808386,7.96,0.6751,0.0548,0.2701,5.7391,0.7530311377049319,0.054391669520570785,0.054391669520570785,TOI-1467 b
