round,scheduler,n_selected,weather,time_used_hrs,alpha_t,beta_t,gamma,cum_sci_gain,mean_priority,mean_sigma_before,mean_sigma_after,top_target
1,Static Priority,8,0.827597038156852,7.95,1.0,1.0,1.0,0.0398,0.9875431391728353,0.017553500422475544,0.017553500422475544,TRAPPIST-1 f
2,Static Priority,6,0.7738178804637843,7.55,1.0,1.0,1.0,0.1014,0.966486311965958,0.04741970053860406,0.04741970053860406,GJ 1061 d
3,Static Priority,4,0.8226390235484408,7.68,1.0,1.0,1.0,0.1355,0.9389148240715047,0.08757362049595349,0.08757362049595349,K2-288 B b
4,Static Priority,5,0.8676751649032589,7.36,1.0,1.0,1.0,0.2232,0.9230644401673993,0.11669984720703382,0.11669984720703382,Kepler-442 b
5,Static Priority,5,0.8525792225489663,7.38,1.0,1.0,1.0,0.293,0.9190520893349596,0.11281680243988039,0.11281680243988039,TOI-700 d
6,Static Priority,5,0.776079606070216,7.47,1.0,1.0,1.0,0.3747,0.9036854748457358,0.129267837710905,0.129267837710905,GJ 357 d
7,Static Priority,5,0.7303561316711227,7.8,1.0,1.0,1.0,0.48,0.8818257552811298,0.10743555586159584,0.10743555586159584,LHS 1140 b
8,Static Priority,6,0.7890547464105858,7.8,1.0,1.0,1.0,0.6325,0.8760604466476619,0.17984464368031217,0.17984464368031217,HD 147513 b
9,Static Priority,5,0.7706807839979022,7.62,1.0,1.0,1.0,0.7497,0.8224617987623443,0.21642630937800073,0.21642630937800073,HD 1605 c
10,Static Priority,8,0.6828869513828631,7.98,1.0,1.0,1.0,1.0762,0.8300525289743756,0.17582363154162092,0.17582363154162092,TOI-904 c
11,Static Priority,6,0.6809612236660115,7.3,1.0,1.0,1.0,1.2401,0.8115247989280677,0.17118422501305408,0.17118422501305408,GJ 887 d
12,Static Priority,6,0.5572261953257874,7.62,1.0,1.0,1.0,1.38,0.8444262200867834,0.2024397563633414,0.2024397563633414,Kepler-1647 b
13,Static Priority,6,0.734164869975402,7.97,1.0,1.0,1.0,1.5594,0.777018485470874,0.23528858325455712,0.23528858325455712,HD 103891 b
14,Static Priority,6,0.6793374666307824,7.31,1.0,1.0,1.0,1.7167,0.8404078343725653,0.1606906157140879,0.1606906157140879,Kepler-283 c
15,Static Priority,7,0.6963220557652918,7.79,1.0,1.0,1.0,1.9359,0.8631498719799172,0.18732100279650088,0.18732100279650088,TOI-2295 c
16,Static Priority,5,0.7258818253895278,7.86,1.0,1.0,1.0,2.0265,0.8518137639191897,0.20211403255727434,0.20211403255727434,HD 18015 b
17,Static Priority,7,0.7090263923604401,7.58,1.0,1.0,1.0,2.2059,0.8760767441617352,0.1431400678836521,0.1431400678836521,HD 216435 b
18,Static Priority,4,0.6588139855725618,7.85,1.0,1.0,1.0,2.2482,0.8115260377721076,0.23248801747244546,0.23248801747244546,Kepler-174 d
19,Static Priority,4,0.7176122366215995,7.45,1.0,1.0,1.0,2.3231,0.8180099995159954,0.22893471516697694,0.22893471516697694,Kepler-967 c
20,Static Priority,6,0.6982981709203425,7.75,1.0,1.0,1.0,2.4794,0.7661204004153359,0.20166447260184692,0.20166447260184692,HD 13167 b
21,Static Priority,5,0.6621228066560868,7.41,1.0,1.0,1.0,2.5435,0.9093392590650978,0.123417681308164,0.123417681308164,Kepler-1635 b
22,Static Priority,6,0.6755374514418101,7.73,1.0,1.0,1.0,2.6758,0.8516817765748598,0.1861928863104524,0.1861928863104524,HD 154391 b
23,Static Priority,3,0.6323825601863322,7.59,1.0,1.0,1.0,2.6811,0.8161624169242692,0.17900534042830807,0.17900534042830807,Kepler-452 b
24,Static Priority,6,0.714198684607879,7.29,1.0,1.0,1.0,2.8627,0.8527854790024817,0.17458782392173766,0.17458782392173766,HD 20794 f
25,Static Priority,6,0.6199767435938989,7.67,1.0,1.0,1.0,2.982,0.8802492507716778,0.14201066792290862,0.14201066792290862,HD 20782 b
26,Static Priority,8,0.6881200000682349,7.69,1.0,1.0,1.0,3.2335,0.889723998568329,0.13246069327031088,0.13246069327031088,HD 23596 b
27,Static Priority,6,0.8100298872488374,7.35,1.0,1.0,1.0,3.4072,0.7940246257358078,0.1684529990299725,0.1684529990299725,HD 180617 b
28,Static Priority,6,0.7965392108070557,7.87,1.0,1.0,1.0,3.6347,0.8259084680477549,0.16193499603278697,0.16193499603278697,HD 221287 b
29,Static Priority,8,0.6911854325992256,7.71,1.0,1.0,1.0,3.8909,0.8738127300637211,0.14535104335939883,0.14535104335939883,HD 48948 d
30,Static Priority,6,0.7160445922625291,7.46,1.0,1.0,1.0,3.9961,0.8666395020250642,0.14541321328467063,0.14541321328467063,KIC 3526061 b
