round,scheduler,n_selected,weather,time_used_hrs,alpha_t,beta_t,gamma,cum_sci_gain,mean_priority,mean_sigma_before,mean_sigma_after,top_target
1,Uncertainty Greedy,4,0.6922582161543034,7.58,1.0,0.0,0.0,0.0719,0.5955918443346124,0.2943379057834461,0.2943379057834461,Kepler-1654 b
2,Uncertainty Greedy,6,0.7073238943504014,7.92,1.0,0.0,0.0,0.2377,0.7369348916796087,0.2597800832246816,0.2597800832246816,EPIC 248847494 b
3,Uncertainty Greedy,6,0.7198093569930187,7.63,1.0,0.0,0.0,0.4229,0.7040080897538229,0.2530664066667358,0.2530664066667358,HD 44219 b
4,Uncertainty Greedy,5,0.808827337212539,7.99,1.0,0.0,0.0,0.5558,0.6585970512048241,0.2733182101233328,0.2733182101233328,HD 219415 b
5,Uncertainty Greedy,5,0.8811029612816402,7.22,1.0,0.0,0.0,0.6323,0.5013121371561794,0.2420589233483522,0.2420589233483522,KIC 3526061 b
6,Uncertainty Greedy,4,0.8149159834579749,7.94,1.0,0.0,0.0,0.756,0.7016430141072132,0.279458912278914,0.279458912278914,WASP-41 c
7,Uncertainty Greedy,5,0.711568023998798,8.0,1.0,0.0,0.0,0.825,0.44271194002208303,0.23970789341096538,0.23970789341096538,HATS-59 c
8,Uncertainty Greedy,4,0.6980929779719023,7.7,1.0,0.0,0.0,0.8649,0.6844417580899882,0.28011988945273547,0.28011988945273547,Kepler-712 c
9,Uncertainty Greedy,3,0.7323474256817337,7.47,1.0,0.0,0.0,0.8697,0.6536108585347037,0.2810147769954641,0.2810147769954641,Kepler-1647 b
10,Uncertainty Greedy,4,0.6173752689941617,7.36,1.0,0.0,0.0,0.9521,0.636416166401341,0.27210562429194585,0.27210562429194585,BEBOP-3 b
11,Uncertainty Greedy,4,0.731051743879387,7.74,1.0,0.0,0.0,1.031,0.7065386547473785,0.2491966428903433,0.2491966428903433,Kepler-47 c
12,Uncertainty Greedy,3,0.6171385971735638,7.77,1.0,0.0,0.0,1.0537,0.6675335484471651,0.26334283802090236,0.26334283802090236,Kepler-1704 b
13,Uncertainty Greedy,4,0.6294805957387997,7.95,1.0,0.0,0.0,1.1065,0.6812795722325494,0.25044950986675535,0.25044950986675535,KELT-6 c
14,Uncertainty Greedy,4,0.6877536020223018,7.37,1.0,0.0,0.0,1.1372,0.32454155770127546,0.2116189487698133,0.2116189487698133,Kepler-139 e
15,Uncertainty Greedy,5,0.5428700229545418,7.19,1.0,0.0,0.0,1.2308,0.5686360757993771,0.21968181858956273,0.21968181858956273,HD 1605 c
16,Uncertainty Greedy,6,0.6302263176381356,7.36,1.0,0.0,0.0,1.4315,0.7350171755801296,0.2244237274583909,0.2244237274583909,TOI-1669 b
17,Uncertainty Greedy,3,0.6257628139963044,7.58,1.0,0.0,0.0,1.4325,0.5464439681868174,0.22301926549506365,0.22301926549506365,Kepler-1143 c
18,Uncertainty Greedy,6,0.6319967849300585,7.76,1.0,0.0,0.0,1.5908,0.6159365516538927,0.22069916973312198,0.22069916973312198,HD 103891 b
19,Uncertainty Greedy,5,0.7342206924637484,7.76,1.0,0.0,0.0,1.7061,0.7026955957777483,0.24297553190118526,0.24297553190118526,HD 80869 b
20,Uncertainty Greedy,5,0.793297076983165,7.78,1.0,0.0,0.0,1.8118,0.4770060606937439,0.20971784389038817,0.20971784389038817,Kepler-725 c
21,Uncertainty Greedy,5,0.8002226413406445,7.25,1.0,0.0,0.0,1.9351,0.520066791421254,0.2066785004047857,0.2066785004047857,Kepler-11 f
22,Uncertainty Greedy,6,0.8006478484829611,7.98,1.0,0.0,0.0,2.0529,0.6581716340632969,0.198593282229417,0.198593282229417,HD 224538 b
23,Uncertainty Greedy,5,0.6545196633840342,7.24,1.0,0.0,0.0,2.1526,0.5476815636527758,0.20350036580400443,0.20350036580400443,HD 187085 b
24,Uncertainty Greedy,4,0.7343309663148853,7.38,1.0,0.0,0.0,2.2212,0.6016597386099438,0.23268891516527435,0.23268891516527435,TOI-1288 c
25,Uncertainty Greedy,5,0.7797577814639042,7.61,1.0,0.0,0.0,2.3178,0.44807343489517626,0.1936562914268717,0.1936562914268717,HAT-P-44 c
26,Uncertainty Greedy,4,0.7552909152776848,7.35,1.0,0.0,0.0,2.4001,0.7361161256044642,0.19482342648747553,0.19482342648747553,HD 4732 c
27,Uncertainty Greedy,6,0.8153184420812759,7.9,1.0,0.0,0.0,2.5453,0.6393150117468654,0.22287322518025052,0.22287322518025052,TIC 139270665 c
28,Uncertainty Greedy,5,0.795784039395389,7.98,1.0,0.0,0.0,2.6341,0.5433499806115801,0.19980119222730186,0.19980119222730186,NY Vir b
29,Uncertainty Greedy,7,0.7798652300055818,7.55,1.0,0.0,0.0,2.9054,0.6313799596388645,0.18886163742626266,0.18886163742626266,HD 197037 b
30,Uncertainty Greedy,5,0.7790694256820757,7.51,1.0,0.0,0.0,3.0187,0.6814925683435966,0.19557751061989234,0.19557751061989234,HD 20868 b
