,mean_abs_shap
pl_rade,0.19132286378142246
detectability,0.056995727411050204
pl_dens,0.0357915468185554
pl_eqt,0.030781730469558302
distance_penalty,0.02119760373255968
st_age,0.01405445437702188
sy_dist,0.013271057519528293
pl_bmasse,0.0071832054542461206
st_met,0.006743056717551489
pl_orbeccen,0.006094849836722604
snr_proxy,0.004513881529611009
pl_orbper,0.0036332763437469536
pl_orbsmax,0.003307206234277796
pl_insol,0.003192253687496931
st_lum_linear,0.0014855213670478915
st_rad,0.0013543735105877338
pl_orbincl,0.0009451315035924108
obs_duration_norm,0.0009225997122322487
st_mass,0.0008576681729762467
st_teff,0.0007455049880449451
