,mean_abs_shap
pl_rade,0.1958628671152764
detectability,0.06474736038551401
pl_dens,0.03258743608062582
pl_eqt,0.02971152864700655
distance_penalty,0.013892262222385071
sy_dist,0.013702783804235303
st_age,0.012811521705553377
pl_orbeccen,0.006957846753266415
st_met,0.0067875982125089164
pl_bmasse,0.006380670778638303
pl_orbper,0.005225003874072801
pl_insol,0.0036568553920996523
pl_orbsmax,0.0034715911166864717
st_lum_linear,0.002790405730064204
snr_proxy,0.0026573909297517052
st_mass,0.0018016993633457597
sy_vmag,0.001305113566769237
st_logg,0.0013046367034118792
st_rad,0.0011543351439867058
sy_jmag,0.0011451117824651871
