,mean_abs_shap
pl_rade,0.10307527464211311
pl_bmasse,0.051335338101086
pl_dens,0.0424024117363518
sy_dist,0.022108839300145042
detectability,0.01986111577176909
distance_penalty,0.018728846368047225
transit_depth_norm,0.013973740890583756
st_rad,0.011123382343187762
pl_eqt,0.010507508967978951
sy_jmag,0.008458270272788827
st_logg,0.006891629055416523
sy_vmag,0.006610074115825512
st_lum_linear,0.006128179090743306
pl_orbper,0.00576438966055157
snr_proxy,0.005503018853885181
st_mass,0.004785310163910304
st_age,0.004401008048795651
pl_orbsmax,0.0038512294429692224
pl_insol,0.003109511887013393
st_teff,0.0026663833278338365
